Details.Headquarters Regions.Other,Details.Headquarters Regions.New England,Details.Headquarters Regions.Greater New York Area,Details.Headquarters Regions.Midwestern US,Details.Headquarters Regions.Great Lakes,,Sector.Health Care,Sector.Financials,Sector.Information Technology,Sector.Real Estate,Sector.Communication Services,Sector.Industrials,Sector.Energy,Sector.Consumer Discretionary,Sector.Consumer Staples,Sector.Materials,Sector.Other,Overview.Number of Founded Organizations,Overview.Gender.Agender,Overview.Gender.Female,Overview.Gender.Male,Overview.Gender.Non-Binary,Overview.Gender.Other,Overview.Gender.Prefer not to identify,Overview.Regions.Midwestern US,Overview.Regions.Greater New York Area,Overview.Regions.Other,Overview.Regions.Northeastern US,Overview.Regions.New England,Overview.Regions.Southern US,Overview.Regions.Great Lakes,Overview.Regions.East Coast,Overview.Regions.West Coast,Overview.Regions.Western US,Education.0.Prestigious University,Education.1.Prestigious University,Education.MBA,Education.Bachelors,Education.Masters,Education.PhD,Education.Other,Major.Engineering,Major.Business,Major.Physical/Life Science,Major.Social Science,Major.Mathematics,Major.Law,Major.Art,Major.Other,Target,Details.Years Since Founded
0,1,0,0,0,0,1,,,,,,,,,,,1.5,0,0,5,0,0,0,0,1,1,1,0,0,0,1,1,0,2,0,4,1,1,1,1,0,0,1,1,0,0,0,3,1,39
0,0,1,0,0,0,,,,,,1,,1,,,1,0,0,1,7,0,0,0,0,3,0,4,0,1,0,5,2,2,1,0,3,1,0,0,1,0,1,0,0,0,0,0,4,1,111
0,0,0,0,0,NO HEAD,,,,,,,,1,,,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,8
0,0,0,0,0,NO HEAD,,,,,,1,,,,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,0,0,1,1,0,,,,,,1,,,,,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,2,14,0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,3,2,1,0,2,0,3,2,1,0,0,0,4,1,27
0,0,1,0,0,0,,,1,,,1,,,,,1,1,0,0,4,0,0,0,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,0,1,0,1,,,,,,,,,,,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,8
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,5
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,23
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6
0,0,0,1,0,0,1,,,,,,,,,,,1,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,5
0,0,0,0,0,NO HEAD,1,,,,,1,,,,,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,1,3,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,2,1,18
0,0,0,0,0,NO HEAD,1,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,4
0,1,0,0,0,0,1,,,,,1,,,,,,4.333333333,0,3,11,0,0,0,0,0,0,0,1,4,0,2,0,0,3,0,0,1,2,1,1,0,0,2,0,0,0,0,4,1,12
0,0,0,0,1,0,1,,,,,,,,,,,1,0,1,8,0,0,0,0,3,0,3,2,0,0,5,0,0,4,2,6,5,2,0,1,0,4,2,0,0,0,0,7,1,22
,,,,,NO HEAD,,,1,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,1,0,0,0,1,,1,,,,,,,,,1,0,4,6,0,0,0,0,6,0,6,1,0,0,7,0,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,1,25
0,0,0,0,1,0,,1,1,,,1,,,,,1,1,0,0,8,0,0,0,0,0,0,3,0,0,3,0,0,0,1,2,1,1,0,0,2,0,3,0,0,0,0,0,2,1,24
0,0,0,0,0,NO HEAD,,,,,,1,,,,,1,1,0,0,3,0,0,0,0,2,0,3,0,0,0,3,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,7
0,1,0,0,0,0,1,,1,,,,,,,,,1,0,1,6,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,NO HEAD,,,1,,,1,1,,,,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,2,0,1,0,0,0,0,0,0,3
0,0,0,0,0,NO HEAD,,,,,,,,1,,,1,1.25,0,1,9,0,0,0,1,1,0,1,0,0,1,1,5,5,2,2,1,5,1,2,2,2,2,1,2,0,0,0,4,1,8
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,2,1,0,0,0,1,1,0,1,0,0,0,1,1,18
1,0,0,0,0,0,1,,,,,,,,,,,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,10
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1.5,0,6,25,0,0,0,2,3,0,3,1,0,2,4,20,19,12,5,6,14,4,4,5,1,5,7,2,0,2,0,12,1,11
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1.666666667,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,2,5,1,0,3,5,2,0,2,0,0,0,3,1,19
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1.5,0,6,25,0,0,0,2,3,0,3,1,0,2,4,20,19,12,5,6,14,4,4,5,1,5,7,2,0,2,0,12,1,11
0,0,0,1,0,0,1,,,,,,,,,,,0,0,0,5,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,12
0,0,0,0,0,NO HEAD,1,,1,,,,,,,,1,1.333333333,0,0,7,0,0,0,1,1,1,1,0,0,1,1,4,4,0,0,0,2,1,0,0,0,0,1,1,0,0,0,1,0,6
0,1,0,0,0,0,1,,,,,,,,,,,0,0,1,4,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,11
0,0,0,0,0,NO HEAD,,,1,,,1,,,,,1,1,0,2,13,0,0,0,1,0,1,0,0,0,1,0,10,8,1,0,5,8,2,2,3,5,4,3,3,1,1,0,5,1,14
0,1,0,0,0,0,1,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
0,0,0,1,0,0,1,,,,,,,,,,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,0,0,0,0,0,1,,,,,1,,,,,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,1,1,0,1,1,1,0,2,0,0,0,0,0,0,0,0,7
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,2,0,5,10,0,0,0,0,0,0,0,1,1,0,2,1,1,2,2,1,6,1,4,2,0,0,6,1,0,1,0,6,1,20
0,0,0,0,0,NO HEAD,1,,,,,,,,,,1,1,0,1,10,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,5,1,2,3,2,1,4,1,0,0,0,2,0,19
0,0,0,0,0,NO HEAD,1,,,,,,,,,,1,1.333333333,0,2,12,0,0,0,0,0,1,0,0,0,0,0,12,8,4,3,2,9,5,5,3,3,2,9,0,0,0,0,1,1,13
0,1,0,0,0,0,,,1,,,1,1,1,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,1,0,0,0,0,1,,,,,,,,,,,1,0,1,3,0,0,0,0,0,0,0,3,0,0,3,1,1,0,0,0,0,1,1,2,0,0,1,0,0,0,0,0,0,21
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,2,8,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,4,1,0,1,2,0,2,1,0,0,0,0,5,1,18
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,2,0,3,14,0,0,0,0,3,0,4,1,1,0,5,4,4,1,2,3,2,0,0,1,1,1,0,1,0,0,0,3,1,37
0,0,0,0,0,NO HEAD,1,,1,,,,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4
0,0,0,0,0,NO HEAD,,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,31
0,0,0,0,0,NO HEAD,,,1,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,31
0,0,0,0,0,NO HEAD,,,1,,,1,,,,,1,1.333333333,0,1,8,0,0,0,0,0,0,0,0,0,1,0,7,6,2,1,2,5,1,2,0,3,0,1,2,0,0,0,2,0,21
0,0,0,0,0,NO HEAD,,,1,,,,,1,,,1,1,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,5
0,0,0,0,0,NO HEAD,,,1,,,1,1,1,,,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,1,0,1,2,1,0,0,0,0,0,2,1,49
0,0,0,1,1,0,1,,,,,,,,,,,1.5,0,2,16,0,0,0,3,1,0,1,3,1,3,5,1,1,4,3,4,6,5,0,4,0,2,4,3,0,1,0,5,1,9
0,0,0,0,0,NO HEAD,,,1,,,1,,,,,1,2,0,0,8,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1.666666667,0,0,10,0,0,0,1,0,0,0,0,0,1,0,0,0,4,2,0,0,0,0,7,0,0,2,0,0,0,0,5,1,21
0,1,0,0,0,0,1,,1,,,,,1,,,1,1.333333333,0,4,12,0,0,0,0,2,1,2,9,0,0,11,4,1,1,2,3,3,6,2,1,6,2,0,2,0,0,1,2,0,11
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,1,4,0,0,0,0,1,0,1,1,0,0,2,2,0,1,0,1,3,1,1,1,0,2,2,1,0,0,0,1,1,11
0,0,0,1,1,0,,1,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1.25,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6
0,1,0,0,0,0,,,1,,,1,,1,,,,1,0,1,11,0,0,0,0,0,0,0,11,0,0,11,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,28
0,0,0,0,0,NO HEAD,,,1,,,,,,,,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5
0,1,0,0,0,0,1,,,,,,,,,,,1.5,0,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,26
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,3,0,1,9,0,0,0,0,0,0,1,0,1,0,1,7,7,0,0,0,4,2,4,1,0,0,6,2,0,0,0,3,1,3
0,0,0,0,0,NO HEAD,1,,,,,,,,,,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
0,0,0,0,0,NO HEAD,,,,,,,1,1,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
0,0,0,0,0,NO HEAD,1,,,,,,,1,,,,1.285714286,0,8,21,0,0,0,0,0,2,2,2,2,2,2,13,16,6,3,4,14,4,3,2,5,8,4,5,0,0,0,5,1,21
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,16
0,0,0,0,0,NO HEAD,,1,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
0,0,0,1,1,0,,,1,,,,,1,,,1,1,0,1,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4
0,0,0,1,1,0,,,1,,,,,1,,,1,1,0,1,2,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,4
0,0,0,1,0,0,1,,,,,1,,,,,,1,0,2,8,0,0,0,6,0,0,0,0,1,3,1,0,0,1,2,2,4,1,0,0,2,0,4,1,0,0,0,2,1,22
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,3,0,1,13,0,0,0,0,2,0,1,2,0,0,3,8,8,4,2,1,5,2,3,0,1,1,5,1,0,0,0,2,1,7
0,0,0,0,0,NO HEAD,,,,,,,,,,,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,2,0,1,0,0,2,0,6
0,0,0,0,1,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
0,1,0,0,0,0,1,,,,,,,,,,,2,0,2,11,0,0,0,0,2,0,2,0,1,0,3,1,1,2,2,2,5,3,2,4,0,2,2,2,0,1,0,6,1,28
0,0,0,0,0,NO HEAD,,1,1,,,,,,,,1,1.666666667,0,0,12,0,0,0,0,0,3,0,0,6,0,0,1,1,1,1,2,2,0,0,0,1,3,0,0,0,0,0,1,0,11
0,0,0,1,1,0,,,,,1,1,,1,,,1,1,0,0,9,0,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,22
0,0,0,1,1,0,1,,,,,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
0,0,0,1,1,0,1,,,,,,,,,,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,NO HEAD,,,1,,1,,,1,,,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,1,6,0,0,0,0,0,0,0,0,7,0,7,0,0,1,1,2,1,1,2,1,1,1,3,2,0,0,0,2,1,15
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,1,1,0,1,,,,,,,,,,,0,0,4,11,0,0,0,1,1,2,1,9,1,1,11,0,0,3,1,1,10,2,2,1,2,1,4,5,1,0,0,5,1,9
0,0,0,0,0,NO HEAD,,,,,,1,,,,,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,27
0,1,0,0,0,0,1,,,,,,,1,,,,1,0,0,4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,1,0,0,0,1,1,2,0,0,0,1,1,14
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
1,0,0,0,0,0,1,,1,,,1,,,,,1,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
0,0,0,1,1,0,1,,,,,,,,,,,1,0,1,6,0,0,0,1,0,0,1,0,0,2,0,0,0,1,1,0,2,0,2,0,0,0,1,1,0,0,0,1,0,4
0,1,0,0,0,0,,,1,,,1,,,,,1,1,0,0,7,0,0,0,0,2,0,2,2,2,0,4,0,0,1,4,1,6,0,3,2,5,1,0,0,1,1,0,2,0,11
0,1,0,0,0,0,,,1,,,,,1,,1,1,1.666666667,0,1,5,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,5
0,0,0,0,0,NO HEAD,,,1,,,1,,1,,,,1,0,1,13,0,0,0,0,0,2,0,0,1,0,0,2,3,0,1,2,4,4,0,2,7,2,0,0,0,0,0,2,1,42
0,0,1,0,0,0,,1,1,,,1,,,,,1,1.333333333,0,1,9,0,0,0,0,3,0,3,1,0,0,4,1,1,0,0,0,2,0,0,1,1,1,0,1,0,0,0,0,0,9
0,0,0,1,1,0,,,1,,,1,,,,,,0,0,0,8,0,0,0,6,0,0,0,0,0,6,0,1,1,0,0,1,3,0,0,0,3,0,0,0,0,0,0,1,1,35
0,0,0,0,0,NO HEAD,,,1,,,1,,1,,,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,10
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,18
0,0,1,0,0,0,,,,,,,,,,,1,1.5,0,0,3,0,0,0,0,2,0,2,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,0,2,0,0,0,0,0,3
0,0,0,1,1,0,1,,1,,,1,,,,,1,1,0,0,5,0,0,0,0,1,0,1,0,1,0,2,0,0,1,3,1,2,2,0,1,0,1,0,1,0,0,0,3,1,24
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,2,0,1,7,0,0,0,0,2,0,2,0,2,0,2,0,1,0,0,0,1,0,2,1,1,0,2,0,0,0,0,1,0,8
0,1,0,0,0,0,1,,1,,,1,,,,,,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,13
0,0,0,1,1,0,,,1,,,1,,,,1,1,1,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,4
0,1,0,0,0,0,,,,,,,,,,,1,1,0,0,6,0,0,0,0,1,0,1,3,0,0,4,2,2,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,4
0,0,0,0,0,NO HEAD,,,1,,,1,,,,,1,1.375,0,0,16,0,0,0,3,0,0,0,0,7,3,1,2,3,5,0,5,7,0,7,0,10,4,2,0,1,0,0,2,0,10
0,0,0,0,1,0,,,1,,,1,1,1,,,1,1,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
0,0,0,0,0,NO HEAD,1,,,,,1,,,,,1,4,0,1,8,0,0,0,0,0,1,0,1,2,0,3,2,2,1,0,1,1,3,1,1,1,1,3,0,2,0,0,1,1,44
0,1,0,0,0,0,,,,,,,,,,,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,2,1,62
0,0,0,0,0,NO HEAD,,,,,,,1,,,,,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
0,0,0,0,0,NO HEAD,,,,,,1,1,1,,,1,1.5,0,1,3,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,1,1,1,1,0,3,1,0,0,0,0,0,0,0,4
0,0,0,0,0,NO HEAD,1,,1,,,1,,,,,,2.5,0,2,6,0,0,0,0,1,0,1,0,0,0,1,5,5,0,2,1,5,1,2,1,1,3,3,3,0,0,0,1,0,7
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,2,0,3,8,0,0,0,0,0,1,0,0,1,0,0,8,8,0,0,2,4,4,1,0,0,0,5,0,0,0,0,2,0,14
0,0,0,0,0,NO HEAD,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
0,0,0,0,0,NO HEAD,1,,1,,,,,,,,,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,1,0,2,1,0,0,2,0,0,0,0,2,0,14
0,0,0,1,1,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
1,0,0,0,0,0,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
