Company_Name,Dependent-Company Status,year of founding,Age of company in years,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Technical proficiencies to analyse and interpret unstructured data,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company12,Success,2010,4,,,operations,.406 Ventures|fidelity growth partners global|Fidelity Growth Partners Europe,31,3,No,1/1/10,6/27/12,6300000,United States,North America,0,1,0,1,7,50,No,1,medium,No,No Info,Yes,Yes,No,No,Product,Yes,Private,No,Structured,No,Platform,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,None,High,Yes,High,Masters,21, Visual Studies,Yes,Yes,Tier_1,500,High,0,0,0,Low,0,Few,12,High,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,No,No,3,Medium,0,16.6,6.3,Not Applicable,18,3.85,0 to 2,27.27272727,0,18.18181818,0,9.090909091,0,36.36363636,9.090909091,0,0,0,0,0,0,0
Company13,Success,2010,4,Human insight at machine scale,Media|Finance|Marketing,Marketing & Sales,Battery Ventures|In-Q-Tel|Jump Capital|SAP Ventures|Northwestern University,47,7,No,1/1/10,9/10/13,11500000,United States,North America,0,0,0,1,8,50,No,1,high,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,Law,Yes,Yes,None,500,High,1,0,0,None,0,Few,0,High,Medium,Yes,No,Low,Good,No,Yes,Yes,Yes,No,No,No,3,Medium,0,16.6,11.5,Not Applicable,12,6,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company14,Success,2008,6,Analytics for the Music Industry,Music|Analytics,Technology,Foundry Group|SoftTech VC|Troy Henikoff|David Cohen|Alsop Louie Partners|David Cancel|IA Ventures|TechStars|Techstars,22,0,No,6/20/08,1/3/12,6500000,United States,North America,0,0,3,0,6,22,No,0,low,No,Large,Yes,No,Yes,Yes,Product,No,Public,Yes,Both,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,Low,Bachelors,18,"Learning and Organizational Change
Computer Science",Yes,Yes,Tier_1,500,Medium,0,0,1,Medium,1,None,20.5,Medium,Medium,Yes,No,Low,No Info,No Info,No,Yes,No,No,Yes,Yes,3,Medium,0,4.4,6.5,Yes,14,7.333333333,5 to 10,8.333333333,0,50,16.66666667,0,12.5,4.166666667,4.166666667,4.166666667,0,0,0,0,0,0
Company15,Success,2010,4,Advanced predictive analytics,E-Commerce|Gaming|Analytics,Marketing & Sales,Harvard Business School Angels|Tech Coast Angels,13,0,No,1/1/10,11/11/13,2800000,United States,North America,0,2,2,0,5,50,No,0,high,No,Medium,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,PhD,25,Communication,Yes,Yes,Tier_1,500,Medium,0,0,0,High,1,Few,22.5,High,Medium,Yes,No,Low,No Info,Yes,Yes,Yes,No,No,Yes,No,3,Medium,0,16.6,2.8,Not Applicable,48,48,,13.33333333,0,6.666666667,60,0,13.33333333,6.666666667,0,0,0,0,0,0,0,1
Company16,Success,2008,6,Healthcare Data,Healthcare|Analytics,Data Management,Norwest Venture Partners|Sequoia Capital|Sorenson Capital|Kaiser Permanente Ventures|CHV Capital,129,8,Yes,1/1/08,1/27/14,41000000,United States,North America,0,0,2,0,8,200,No,0,high,No,No Info,No,No,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21,Business management,Yes,Yes,Tier_1,500,High,0,1,0,Low,9,Few,21,High,Medium,Yes,No,Low,Bad,Yes,No,Yes,Yes,No,Yes,No,3,Medium,0,40,41,Yes,38,8,2 to 5,11.11111111,5.555555556,5.555555556,0,11.11111111,11.11111111,27.77777778,0,11.11111111,5.555555556,0,0,5.555555556,5.555555556,5
Company17,Success,2010,4,Big Data Analytics,Analytics,Marketing & Sales,Hummer Winblad Venture Partners|US Venture Partners|Presidio Ventures|Mohr Davidow Ventures,23,0,No,1/1/10,12/14/12,3499999,United States,North America,0,3,1,0,7,50,No,2,high,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Many,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Computer Science,Yes,Yes,Tier_1,417,High,0,0,0,None,1,Few,12,Medium,Medium,Yes,No,Low,Good,No,Yes,Yes,No,No,Yes,No,3,Medium,0,16.6,3.499999,Not Applicable,3,11.06666667,2 to 5,8.333333333,0,58.33333333,0,0,0,25,0,0,8.333333333,0,0,0,0,2
Company18,Success,2009,5,Marketing Intelligence Platform,Marketing,Marketing & Sales,Sequoia Capital|Giza Venture Capital|Adams Street Partners,52,-4,No,6/1/09,10/17/13,10000000,United States,North America,0,0,3,0,8,50,No,2,low,No,Small,No,No,No,No,Both,Yes,Both,Yes,Both,No,Platform,Global,Non-Linear,No,Few,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21,Communication,Yes,Yes,Tier_2,500,High,0,0,0,Low,0,Few,4.5,High,Medium,Yes,No,Low,Good,No Info,Yes,Yes,No,No,Yes,No,4,High,0,12.5,10,Not Applicable,30,12.61666667,2 to 5,20,0,20,0,40,0,20,0,0,0,0,0,0,0,0
Company19,Success,2002,12,water management solutions,,Solution providing,Firelake Capital Management|RockPort Capital Partners|Chrysalis Ventures|Monitor Ventures|Shea Ventures,46,2,Yes,1/1/02,12/14/12,750000,United States,North America,0,3,0,0,8,200,No,0,medium,Yes,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,local,Non-Linear,Yes,Many,No,No,Yes,No,No,No,No,No,Yes,No,Online,B2B,Low,High,Yes,High,Masters,21,economics,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,Few,18.5,High,High,Yes,No,High,No Info,No,Yes,No,Yes,No,Yes,No,4,High,0,18.18,0.75,Yes,35,24.625,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Company20,Success,2010,4,In-Store Mobile Commerce,Advertising|Retail|Mobile,Marketing & Sales,Innovation Endeavors|Metamorphic Ventures|Motorola Solutions Venture Capital|Christian Dahlen,5,0,No,4/1/10,11/23/12,749999,United States,North America,0,6,2,0,4,50,No,0,low,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Both,No,Cloud,Local,Non-Linear,No Info,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18,Electrical Engineering,No,Yes,Tier_1,500,High,0,0,0,None,0,None,0,High,High,No,No,High,No Info,No,No,Yes,No,No,No,No,4,High,4,16.6,0.749999,Not Applicable,20,5.455555556,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Company21,Success,2010,4,Internet Company,Marketing,Marketing & Sales,,27,0,Yes,1/1/10,5/6/11,5000000,United States,North America,0,1,2,0,5,26,No,0,medium,Yes,Medium,Yes,No,No,No,Both,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,No Info,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Offline,B2B,High,High,Yes,Low,Bachelors,18,Computer Science,Yes,Yes,None,410,High,1,1,1,High,56,None,22,Medium,Medium,Yes,No,Low,Good,Yes,Yes,No,No,No,Yes,No,4,Medium,0,8.6,5,Not Applicable,15,15,2 to 5,5.555555556,0,27.77777778,11.11111111,0,16.66666667,27.77777778,5.555555556,0,5.555555556,0,0,0,0,7
Company22,Success,2005,9,Social Business Analytics,,Social Media,Alta Ventures Mexico,,,Yes,1/1/05,3/13/13,1500000,United States,North America,0,0,2,0,4,26,No,0,medium,No,Medium,Yes,Yes,Yes,Yes,Both,Yes,Public,No,Both,Yes,Platform,Global,Non-Linear,No,No Info,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Both,B2B,High,High,Yes,High,Masters,21,MBA,Yes,Yes,Tier_1,500,Low,1,1,1,Low,100,Few,14,Low,Low,No,No,Medium,Bad,No,No,No,Yes,No,No,No,4,High,0,3.25,1.5,Yes,96,96,2 to 5,8.333333333,0,0,0,0,25,33.33333333,8.333333333,8.333333333,0,0,16.66666667,0,0,0
Company23,Success,2012,2,Marketing intelligence solutions,Analytics,Marketing & Sales,Accel Partners|Lightspeed Venture Partners|Elad Gil|Jafco Ventures,32,3,Yes,1/1/12,1/29/14,15000000,United States,North America,0,0,3,8,3,33,Yes,2,high,Yes,Medium,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,Yes,No,No,Offline,B2B,High,High,Yes,Medium,Masters,21,Computer Science,Yes,Yes,Tier_2,500,Low,1,1,1,High,58,None,17,High,Medium,No,Yes,Low,Bad,Yes,No,No,Yes,No,No,No,3,Medium,0,33,15,Not Applicable,10,7.366666667,2 to 5,8.088235294,0,17.89215686,1.960784314,2.083333333,8.088235294,14.21568627,4.044117647,4.044117647,4.166666667,0,0,0,2.083333333,9
Company24,Success,2009,5,,,targeted marketing,,,,Yes,,,0,,,6,0,2,6,5,22,Yes,4,medium,No,Small,Yes,Yes,No,Yes,Service,Yes,Both,No,Structured,No,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Online,B2B,High,High,No,High,Masters,21,Master of Arts,No,Yes,Tier_1,500,Low,0,0,0,Low,59,Many,30,Low,Low,No,No,Low,Bad,No,Yes,No,Yes,No,Yes,No,3,Medium,0,5.5,5.2,Not Applicable,5,18,2 to 5,5.882352941,2.941176471,41.17647059,8.823529412,0,8.823529412,17.64705882,2.941176471,5.882352941,2.941176471,0,0,0,2.941176471,9
Company25,Success,2012,2,Smart Data for Better Places,Mobile|Retail,Community Betterment,TechStars|MI Ventures LLC|NEA Venture Capital|TriplePoint Capital|Kima Ventures|Correlation Ventures|Scrum Ventures,3,0,Yes,3/1/12,11/1/13,1700000,United States,North America,1,0,2,0,2,3,No,0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Both,Yes,Platform,Local,Linear,Yes,No Info,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Online,B2C,High,High,Yes,Medium,PhD,25,Image Processing,Yes,Yes,None,500,Low,0,0,0,High,81,Many,40,Low,Low,No,Yes,Medium,Bad,Yes,Yes,Yes,No,No,Yes,No,3,High,5,3,1.7,Not Applicable,14,3.55,2 to 5,11.4379085,0,20.58823529,11.11111111,2.941176471,5.718954248,25.65359477,2.777777778,11.2745098,2.777777778,0,0,0,5.718954248,3
Company26,Success,2011,3,White Label Web Analytics,Analytics,Web Analytics,Bogusia Riebandt|Peter Emonds|A Squared Capital Partners,5,0,Yes,6/1/11,8/1/11,250000,United States,North America,3,0,2,1,3,5,No,0,None,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2B,High,High,Yes,Medium,Masters,21,Electrical Engineering,No,No,None,500,Low,0,0,0,Medium,24,Many,14,Low,Low,No,No,Low,Bad,No,No,No,No,No,Yes,No,2,Low,3,2.5,0.25,Not Applicable,1,6.111111111,0 to 2,15.38461538,0,0,46.15384615,0,7.692307692,7.692307692,0,7.692307692,15.38461538,0,0,0,0,0
Company27,Success,2009,5,Investing tools made simple,Analytics|Finance,Strategy,Long Light Capital|Continuity Capital,5,0,Yes,1/1/09,12/12/13,1400000,United States,North America,0,0,3,0,3,6,No,0,low,No,Medium,No,No,Yes,No,Service,Yes,Private,No,Unstructured,No,Platform,Global,Non-Linear,No,No Info,No,No,No,No,No,No,No,No,Yes,Yes,Online,B2B,None,Medium,No,Low,Bachelors,18,Arts,No,No,Both,307,Low,1,1,1,Medium,67,Many,0,Low,Low,No,No,Medium,Good,No,Yes,Yes,Yes,No,No,Yes,4,High,0,1.5,1.4,Not Applicable,48,48,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company28,Success,2013,1,Semantic Automation and Storytelling,,Social Media,Windforce Ventures|Comcast Ventures|Samsung Ventures|ENIAC Ventures|WoodGen LLC|DreamIt Ventures,,,No,3/1/13,7/1/13,1100000,United States,North America,6,0,1,0,1,5,No,0,None,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Non-Linear,No,No Info,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Online,B2C,Low,Low,No,Low,PhD,25,Law,No,No,Tier_2,500,Low,0,0,0,Low,53,Few,32,Low,Low,No,Yes,Medium,Bad,No,No,No,No,No,Yes,No,3,Medium,0,5,1.1,Not Applicable,4,4,0 to 2,7.142857143,0,14.28571429,7.142857143,21.42857143,7.142857143,7.142857143,7.142857143,7.142857143,0,14.28571429,0,0,7.142857143,4
Company29,Success,2007,7,Real-time in-store analytics,Analytics,Strategy,StarVest Partners|August Capital|Nokia Growth Partners|Commerce Ventures,,,yes,11/1/07,4/30/13,15000000,United States,North America,0,0,2,8,10,110,Yes,2,high,No,Medium,No,No,No,No,Service,No,Private,No,Structured,No,Platform,Local,Linear,Yes,No Info,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,Arts,No,Yes,None,500,Medium,1,1,1,Medium,71,Few,18,High,High,Yes,Yes,Medium,Good,Yes,Yes,Yes,Yes,No,No,Yes,4,High,0,18.3,15,Yes,36,13.62222222,5 to 10,5.555555556,5.555555556,16.66666667,5.555555556,5.555555556,5.555555556,22.22222222,5.555555556,22.22222222,5.555555556,0,0,0,0,1
